timestamp,participant_id,session_id,age,genre,origine,statut_professionnel,niveau_etudes,code_postal,autonomie_percue,confiance_en_soi,satisfaction_globale,recommandation_nps,remarques_ouvertes,as_q1,as_q2,as_q3
2024-10-05T09:00:00Z,P-AS-001,S-Automne-2024,34,Feminin,Étrangère (hors Union Européenne),Sans_emploi,Universitaire (Bac / Licence),76100,2,2,3,5,Perdue face aux démarches administratives,"Aide administrative;Accès aux droits sociaux;Régularisation de situation",2,1
2024-10-05T10:00:00Z,P-AS-002,S-Automne-2024,28,Masculin,Étrangère (hors Union Européenne),Sans_emploi,Post-secondaire / Technique,76000,2,2,3,6,Besoin d'aide urgente pour mon dossier,"Aide administrative;Accès aux droits sociaux;Recherche d'emploi",2,2
2024-10-06T14:00:00Z,P-AS-003,S-Automne-2024,45,Feminin,Française (ou Union Européenne),Sans_emploi,Primaire / Secondaire,76610,2,1,2,4,Très difficile de comprendre mes droits,"Aide administrative;Accès aux droits sociaux",1,1
2024-10-07T09:30:00Z,P-AS-004,S-Automne-2024,38,Masculin,Étrangère (hors Union Européenne),Sans_emploi,Universitaire (Bac / Licence),76100,2,2,3,5,Situation compliquée avec ma régularisation,"Aide administrative;Régularisation de situation;Recherche d'emploi",2,2
2024-10-08T11:00:00Z,P-AS-005,S-Automne-2024,52,Feminin,Française (ou Union Européenne),Sans_emploi,Primaire / Secondaire,76600,1,1,2,3,Je ne comprends rien aux papiers administratifs,"Aide administrative;Accès aux droits sociaux;Recherche de logement",1,1
2024-10-09T10:00:00Z,P-AS-006,S-Automne-2024,41,Masculin,Française (ou Union Européenne),Sans_emploi,Post-secondaire / Technique,76000,2,2,3,6,Perdu mon emploi et besoin d'aide,"Aide administrative;Accès aux droits sociaux;Recherche d'emploi",2,2
2024-10-10T13:00:00Z,P-AS-007,S-Automne-2024,36,Feminin,Étrangère (hors Union Européenne),Sans_emploi,Universitaire (Master / Doctorat),76100,3,2,3,6,Diplômée mais pas reconnue en France,"Aide administrative;Régularisation de situation;Recherche d'emploi",2,2
2024-10-11T09:00:00Z,P-AS-008,S-Automne-2024,47,Masculin,Française (ou Union Européenne),Sans_emploi,Post-secondaire / Technique,76610,2,2,3,5,Problèmes de santé et démarches compliquées,"Aide administrative;Accès aux droits sociaux;Accès aux soins",2,1
2024-10-12T10:30:00Z,P-AS-009,S-Automne-2024,31,Feminin,Française (ou Union Européenne),Sans_emploi,Universitaire (Bac / Licence),76000,2,2,3,6,Situation familiale difficile,"Aide administrative;Accès aux droits sociaux;Recherche de logement",2,2
2024-10-13T14:00:00Z,P-AS-010,S-Automne-2024,55,Masculin,Française (ou Union Européenne),Sans_emploi,Primaire / Secondaire,76600,1,1,2,4,Trop compliqué tous ces papiers,"Aide administrative;Accès aux droits sociaux",1,1
